State,latitude,longitude,2010 Tornadoes,2010 Deaths,2011 Tornadoes,2011 Deaths,2012 Tornadoes,2012 Deaths,2013 Tornadoes,2013 Deaths,2014 Tornadoes,2014 Deaths,2015 Tornadoes,2015 Deaths,2016 Tornadoes,2016 Deaths,2017 Tornadoes,2017 Deaths,2018 Tornadoes,2018 Deaths,2019 Tornadoes,2019 Deaths,2020 Tornadoes,2020 Deaths
Alabama,32.688053,-86.810585,,,16,245,3,3,,,1,2,,,2,4,,,,,2,25,3,5
Arizona,34.255149,-111.62621,,,,,,,,,,,,,,,,,,,,,,
Arkansas,34.755883,-92.640559,1,10,5,12,,,1,1,2,17,,,,,,,1,1,,,,
Florida,27.97762,-81.769611,,,,,1,1,,,,,,,1,2,,,,,,,,
Georgia,32.53951,-83.380775,,,6,16,,,1,1,,,,,,,2,16,,,,,2,9
Illinois,40.265028,-89.191575,1,1,,,2,9,3,8,,,1,2,,,2,3,,,,,,
Indiana,39.904493,-86.250281,,,,,2,13,,,,,,,,,,,,,,,,
Iowa,42.039943,-93.500069,,,,,,,1,1,1,2,,,,,,,,,1,1,,
Kansas,38.500327,-98.380429,,,2,3,1,1,,,,,,,,,,,,,,,,
Kentucky,37.696825,-84.924095,,,,,4,22,,,,,,,,,,,1,1,,,,
Louisiana,30.542601,-92.51441,,,1,1,,,,,,,,,1,2,2,3,1,1,2,3,3,5
Maryland,39.038828,-76.346717,,,,,,,,,,,,,,,,,1,2,,,,
Massachusetts,42.358752,-71.531484,,,1,3,,,,,,,,,,,,,,,,,,
Michigan,43.924812,-84.633107,1,1,,,,,,,,,,,,,,,,,,,,
Minnesota,46.63636,-94.579641,3,3,1,1,,,,,,,,,,,,,,,,,1,1
Mississippi,32.921921,-89.687118,5,13,6,32,,,2,2,4,16,2,11,1,1,2,5,,,2,2,5,12
Missouri,38.353141,-92.747022,3,5,1,158,4,6,,,,,,,,,,,1,1,1,3,,
Montana,47.001265,-109.645406,1,2,,,,,,,,,,,,,,,,,,,,
Nebraska,41.499671,-99.810075,,,,,,,,,2,2,,,,,,,,,,,,
New York,43.408777,-74.871618,1,1,,,,,,,1,4,,,,,,,1,1,,,,
North Carolina,35.387362,-78.455056,,,6,30,,,,,1,1,,,,,,,,,,,1,2
North Dakota,47.471495,-100.469096,1,1,,,,,,,,,,,,,,,1,1,,,,
Ohio,40.262259,-82.883453,1,7,,,,,,,,,,,,,,,,,1,1,,
Oklahoma,35.455622,-97.508021,2,3,5,14,1,6,3,34,1,1,2,2,2,2,1,1,,,2,4,1,2
South Carolina,33.702857,-80.627523,,,1,3,,,,,,,,,,,1,1,,,,,3,8
South Dakota,44.470716,-100.229958,,,,,,,,,,,,,,,,,,,,,1,1
Tennessee,35.820245,-86.343764,1,1,8,33,2,3,,,1,2,1,2,1,2,,,1,1,,,5,27
Texas,31.030974,-98.326329,,,,,,,2,7,,,6,17,1,1,2,4,,,2,2,2,4
Virginia,37.73086,-78.376655,,,3,6,,,,,,,,,2,4,,,1,1,,,,
West Virginia,38.720281,-80.649428,1,1,,,,,,,,,,,,,,,,,,,,
Wisconsin,44.356004,-89.466198,,,1,1,,,,,,,,,,,1,1,,,,,,
